series,value,z60,p60,z252,p252,zΔ60,pΔ60,ret1%,confidence
TURNOVER,655472934511.0,-0.20488926580514663,40.833333333333336,0.950264367256782,84.32539682539682,1.0160447235405754,87.5,-17.39946228812994,OK
INDEX,33599.54,1.248651004306866,85.83333333333333,2.1244480599581013,96.62698412698413,-0.9454548641458085,12.5,-0.21797918447276077,OK
INDEX_%CHG,-0.21797918447276077,-0.4297068305419905,30.833333333333332,-0.2385059788637551,35.51587301587302,,,,OK
AMPL_%,1.5055709421274208,0.13331074076072968,59.166666666666664,0.3011428556829306,77.97619047619048,,,,OK
TURNOVERx20,0.7543828100278058,-1.5185944575136847,2.5,-1.383888542186448,5.357142857142857,,,,OK
